tree,n_simulations,alpha_mse,alpha_rmse,alpha_mae,alpha_correlation,rho_mse,rho_rmse,rho_mae,rho_correlation
BBS30017_15,50,0.004660153102000001,0.06826531404747217,0.049474600000000014,0.9931510078049639,0.000645286314,0.025402486374368947,0.0196746,0.9952488824634798
BBS30018_78,3,0.0035799701999999975,0.05983285218005237,0.052733333333333327,0.9992279407098136,0.023209179900000005,0.1523455936349982,0.10015666666666667,0.7338049119893983
BBS30019_34,50,0.0016525719819999987,0.04065183860540626,0.0285926,0.9976808246876889,0.0002667362540000002,0.016332062147812205,0.012683400000000004,0.9981172596072952
BBS30020_56,8,0.0017506437874999993,0.04184069535153544,0.03412875,0.9950463700203441,0.0003866813000000003,0.01966421368883079,0.014197500000000023,0.9960332223593812
BBS30022_66,5,0.0010768106000000005,0.032814792396113075,0.02528400000000002,0.9959242149459283,0.0009983501400000004,0.0315966792558965,0.027750000000000007,0.9940471439521564
BBS30023_77,2,0.0038303276500000006,0.06188964089409471,0.057925000000000004,1.0,2.7267250000000222e-05,0.005221805243400047,0.004885000000000028,0.9999999999999999
BBS30024_69,4,0.0002480685249999992,0.015750191268679856,0.012587500000000001,0.9995940007618086,0.00019887364999999964,0.014102256911572688,0.012074999999999975,0.9998949707761049
BBS30025_74,5,0.003422975779999997,0.058506202919006774,0.035878,0.9991470315152015,0.0003708497600000004,0.01925745985326207,0.015544000000000002,0.9943458911067166
BBS30026_81,3,0.0010649462333333366,0.03263351395932312,0.03237666666666672,0.9786956511857293,0.00014596696666666593,0.012081678967207576,0.008849999999999988,0.9113888929184041
BBS30027_20,50,0.004133319557999999,0.06429089794053276,0.0426962,0.9931247374043733,0.0005836651920000002,0.024159163727248512,0.018003600000000005,0.9968228950091027
BBS30028_89,2,0.0005071896999999981,0.02252087254082306,0.021159999999999957,1.0,8.35587999999992e-05,0.009141050267884933,0.008179999999999965,0.9999999999999999
BBS30029_98,1,3.457439999999865e-05,0.005879999999999885,0.005879999999999885,,0.0005340720999999983,0.023109999999999964,0.023109999999999964,
BBS30030_62,7,0.0005751202571428574,0.023981665020236968,0.021394285714285723,0.999090875679276,0.00016707608571428604,0.012925791492759197,0.008571428571428587,0.9988714030486426
BBS50001_34,50,0.0009942540439999998,0.031531794176671894,0.022284800000000007,0.9986676897097411,0.00029138287600000026,0.017069940714601217,0.013454000000000011,0.9983435165682167
BBS50002_13,50,0.001655499779999999,0.04068783331660705,0.026675199999999996,0.9978183783649052,0.000294867238,0.017171698751142824,0.013685000000000001,0.9983351930067591
BBS50003_43,36,0.0017265771861111104,0.04155210206609421,0.026629166666666662,0.9975311941141416,0.000522247066666667,0.02285272558507337,0.014451666666666668,0.9970494676411199
BBS50005_11,50,0.008950411799999995,0.09460661604771621,0.06398639999999998,0.9848287769245754,0.0011200440839999994,0.03346705968560727,0.0244348,0.9932794729000898
BBS50006_60,9,0.00033846177777777754,0.018397330724259364,0.013871111111111103,0.9996353535852742,0.00016955583333333322,0.013021360655988806,0.011189999999999999,0.9986506752099961
BBS50007_23,50,0.0008881498020000006,0.029801842258491345,0.022429000000000004,0.9983159184782254,0.00037237848600000004,0.019297110820016557,0.015358200000000006,0.9972385273112963
BBS50008_26,50,0.002012843050000001,0.04486471943520878,0.0333994,0.9963125433210246,0.000358338116,0.018929820812675434,0.015588400000000002,0.9969667576573583
BBS50009_28,50,0.0013697083479999998,0.037009571032369445,0.025917199999999994,0.9976790151719245,0.00029977591800000014,0.017314038177155558,0.013220600000000006,0.9976872097196999
BBS50010_17,50,0.004661232452000003,0.06827321914191539,0.046209200000000006,0.992529375138952,0.0005612456020000002,0.023690622659609438,0.017547400000000008,0.9960997476405665
BBS50011_36,42,0.002146053545238094,0.046325517215008986,0.03534166666666666,0.9964085041017582,0.0002448787404761904,0.015648601869693995,0.011091190476190473,0.9981806038976676
BBS50012_49,21,0.0012197297523809528,0.03492462959547249,0.02494380952380953,0.9981165986894219,0.00017269152857142853,0.013141214881867983,0.010678571428571424,0.9986794870321765
BBS50013_18,50,0.004003157496000002,0.06327051047684064,0.04823639999999999,0.9932494473048923,0.0009718519340000001,0.031174539836218915,0.0215714,0.9937003620530249
BBS50014_30,50,0.0028266898319999983,0.05316662328942848,0.0357444,0.9956647361136968,0.00022293523600000007,0.014931015906494777,0.011731600000000002,0.9985963217449993
BBS50015_32,50,0.0014081917499999999,0.037525881068936943,0.0228818,0.9974122119691513,0.0002718199539999999,0.016486963152745865,0.0133546,0.9983118560725186
BBS50016_18,50,0.0013806779220000022,0.03715747464508322,0.026475000000000016,0.9983570197372036,0.0004593663500000002,0.021432833457105015,0.0161954,0.9960812159975317
